,City,lat,lon,temp_F,humidity,cloudiness,wind_mph
0,Kamenskiy,50.89,45.49,56.32,43,69,10.8
1,Touros,-5.2,-35.46,69.8,94,40,3.36
2,Rikitea,-23.12,-134.97,73.54,83,50,13.58
3,New Norfolk,-42.78,147.06,46.87,75,90,4.0
4,Lavrentiya,65.58,-171.0,34.93,86,78,8.57
5,Sungai Raya,0.7,108.9,84.74,71,99,1.52
6,Butaritari,3.07,172.79,82.27,69,66,12.08
7,Ambon City,-3.7,128.18,84.2,74,40,8.05
8,Upernavik,72.79,-56.15,25.97,84,100,4.52
9,Chui,-33.7,-53.46,58.87,90,100,8.79
10,Cayenne,4.93,-52.33,73.4,100,20,7.96
11,Katsuura,35.13,140.3,68.0,94,75,10.29
12,Bambanglipuro,-7.95,110.28,86.29,59,99,17.11
13,Cape Town,-33.93,18.42,49.21,87,75,2.24
14,Albany,42.6,-73.97,60.22,78,0,2.26
15,Norman Wells,65.28,-126.83,40.68,90,100,5.37
16,Saint-Philippe,-21.36,55.77,71.33,57,43,4.7
17,Hermanus,-34.42,19.23,50.0,86,41,4.0
18,Lebu,-37.62,-73.65,47.01,82,86,6.8
19,Pevek,69.7,170.31,33.15,97,100,8.46
20,East London,-33.02,27.91,57.2,67,75,18.34
21,Kirakira,-10.45,161.92,83.53,74,100,10.45
22,Hobart,-42.88,147.33,49.64,53,75,24.16
23,Mataura,-46.19,168.86,59.0,63,100,3.0
24,Clyde River,70.47,-68.59,27.14,94,80,6.2
25,Kiruna,67.86,20.23,32.0,98,89,4.7
26,Saskylakh,71.92,114.08,44.44,63,75,6.93
27,Los Llanos de Aridane,28.66,-17.92,78.13,88,40,11.41
28,Sobradinho,-12.83,-39.1,67.05,98,65,2.62
29,Klaksvík,62.23,-6.59,41.0,93,43,2.24
30,Barrow,71.29,-156.79,32.0,98,90,9.17
31,Khatanga,71.97,102.5,43.63,60,90,16.08
32,Ushuaia,-54.8,-68.3,44.6,70,40,18.34
33,Cidreira,-30.18,-50.21,63.91,89,79,13.91
34,Faanui,-16.48,-151.75,78.96,80,6,13.78
35,Vaini,-21.2,-175.2,75.2,83,75,9.17
36,Ambulu,-8.35,113.61,87.03,59,62,10.36
37,Bredasdorp,-34.53,20.04,46.4,87,25,8.05
38,Jamestown,42.1,-79.24,56.32,87,1,4.7
39,Aldergrove,49.06,-122.47,54.9,85,24,1.01
40,Tessalit,20.2,1.01,83.35,14,0,7.9
41,Ilulissat,69.22,-51.1,35.6,80,100,6.93
42,Qaanaaq,77.48,-69.36,12.22,77,0,6.15
43,Cherskiy,68.75,161.3,38.84,84,100,6.2
44,Ostrovnoy,68.05,39.51,48.02,79,89,15.48
45,Punta Arenas,-53.15,-70.92,44.29,65,77,32.21
46,Tasiilaq,65.61,-37.64,35.6,98,100,9.17
47,Yellowknife,62.46,-114.35,45.16,87,99,5.01
48,Longyearbyen,78.22,15.64,28.4,74,75,2.24
49,Richards Bay,-28.78,32.04,68.36,66,44,11.65
50,Busselton,-33.65,115.33,64.65,52,14,17.98
51,Balezino,57.98,53.01,50.47,77,68,3.87
52,Kashgar,39.45,75.98,73.4,16,56,6.71
53,Palana,59.12,159.97,43.32,81,24,9.15
54,Fougères,48.35,-1.2,48.45,93,75,6.93
55,Manadhoo,5.77,73.38,81.57,80,83,9.91
56,Barcelos,41.54,-8.62,50.47,93,11,4.47
57,Tuktoyaktuk,69.45,-133.04,33.51,93,100,15.46
58,Kyaikkami,16.08,97.57,83.34,77,62,5.86
59,Ginda,30.69,78.49,78.8,83,75,4.63
60,Thinadhoo,0.53,72.93,83.07,68,100,6.46
61,Atuona,-9.8,-139.03,78.12,74,6,18.25
62,Arraial do Cabo,-22.97,-42.03,71.17,89,3,19.08
63,Port Alfred,-33.59,26.89,56.95,67,93,25.97
64,Vestmannaeyjar,63.44,-20.27,48.04,89,100,35.12
65,Bitung,1.45,125.18,86.0,70,40,5.82
66,Yar-Sale,66.83,70.83,45.97,74,70,16.15
67,Hithadhoo,-0.6,73.08,82.27,67,100,4.45
68,Torbay,47.67,-52.73,47.48,70,0,5.01
69,Port Hardy,50.7,-127.42,51.87,83,24,8.34
70,Port Blair,11.67,92.75,84.9,72,43,14.47
71,Tateyama,34.98,139.87,68.34,100,75,14.99
72,Lithakia,37.72,20.83,75.2,83,40,6.93
73,Kulhudhuffushi,6.62,73.07,81.5,79,46,9.44
74,Auki,-8.77,160.7,85.98,66,100,4.99
75,Bubaque,11.28,-15.83,81.01,75,99,2.55
76,Azul,-36.78,-59.86,57.0,88,99,3.0
77,Enshi,30.3,109.48,72.95,62,99,2.95
78,Jalingo,8.88,11.37,73.06,92,100,3.38
79,Sirte,31.21,16.59,84.56,31,15,16.82
80,Arrondissement de Saint-Denis,48.92,2.33,48.07,81,0,12.75
81,Kapaa,22.08,-159.32,75.72,69,20,12.75
82,Bud,39.45,-86.18,62.87,82,1,4.9
83,San Cristobal,7.77,-72.22,64.31,81,64,1.59
84,Saint Paul Harbor,57.79,-152.41,48.2,81,90,10.29
85,Zhigansk,66.77,123.37,44.4,75,100,7.36
86,Srednekolymsk,67.45,153.68,50.34,48,90,6.06
87,Muros,42.78,-9.06,52.09,93,52,2.68
88,Kingman,35.19,-114.05,73.4,18,1,12.75
89,Nauta,-4.51,-73.58,72.28,88,56,0.47
90,Ribeira Grande,38.52,-28.7,68.47,76,6,9.64
91,Puerto Ayora,-0.74,-90.35,69.01,88,72,5.01
92,Airai,-8.93,125.41,80.91,38,66,6.15
93,Rock Sound,24.9,-76.2,82.94,77,100,10.69
94,Gorontalo,0.54,123.06,82.2,82,70,5.08
95,Bluff,-46.6,168.33,59.0,63,100,3.0
96,San Juan,-31.54,-68.54,63.41,74,0,11.95
97,Severo-Kuril'sk,50.68,156.12,49.08,64,0,16.49
98,Kendari,-3.94,122.5,84.09,74,89,4.83
99,Vangaindrano,-23.35,47.6,71.11,77,3,11.68
100,Tiksi,71.69,128.87,49.33,49,1,13.42
101,Moskovskiy,55.6,37.35,54.09,66,87,8.95
102,Lata,40.16,-8.33,52.05,82,0,3.27
103,Bintulu,3.17,113.03,88.29,70,40,5.82
104,Matara,5.95,80.54,84.42,72,67,10.87
105,Ammon,43.47,-111.97,61.93,39,90,16.11
106,Rincon,32.3,-81.24,74.32,94,90,2.84
107,Avarua,-21.21,-159.78,73.4,88,100,6.93
108,Coyhaique,-45.58,-72.07,39.2,80,27,2.24
109,Tamworth,52.63,-1.7,40.46,75,0,11.41
110,Hasaki,35.73,140.83,68.67,83,75,17.22
111,Conil,44.97,3.72,33.13,100,71,6.46
112,Saint-Augustin,51.23,-58.65,39.79,71,75,12.48
113,Bethel,41.37,-73.41,59.04,95,64,1.83
114,Chokurdakh,70.63,147.92,48.18,51,4,9.01
115,Taltal,-25.4,-70.48,54.09,79,14,1.19
116,Talnakh,69.49,88.4,42.8,87,40,11.18
117,Bengkulu,-3.8,102.27,83.64,70,78,6.58
118,Dumai,1.68,101.45,76.57,93,100,4.0
119,Idrinskoye,54.37,92.14,47.73,64,81,5.57
120,Berwick,41.05,-76.23,54.36,92,32,2.19
121,Totness,5.88,-56.32,79.38,84,46,8.34
122,Constitución,-35.33,-72.42,50.13,73,95,2.3
123,Ambalavao,-21.83,46.93,68.79,57,1,1.43
124,Belyy Yar,53.6,91.39,51.8,57,53,6.71
125,Guerrero Negro,27.98,-114.06,69.64,86,0,11.56
126,Guasdualito,7.24,-70.73,73.85,89,3,3.27
127,Necochea,-38.55,-58.74,50.0,97,100,8.01
128,Vila Franca do Campo,37.72,-25.43,68.0,77,40,11.41
129,Departamento de Maldonado,-34.67,-54.92,57.22,93,100,11.41
130,Waingapu,-9.66,120.26,89.11,50,62,13.47
131,Broken Hill,-31.95,141.43,59.0,38,75,10.29
132,Casa Blanca,18.15,-97.13,69.82,68,61,2.15
133,Jiangyou,31.77,104.72,68.74,67,91,2.71
134,Yeppoon,-23.13,150.73,89.6,11,0,19.46
135,Carpinteria,34.4,-119.52,65.37,33,0,3.0
136,Benguela,-12.58,13.41,68.72,79,1,3.6
137,Carnarvon,-24.87,113.63,75.2,50,0,14.99
138,Saldanha,-33.01,17.94,48.2,81,31,2.24
139,Esperance,-33.87,121.9,62.6,55,90,8.05
140,Mar del Plata,-38.0,-57.56,50.54,100,40,5.82
141,Viedma,-40.81,-63.0,61.81,67,59,16.58
142,Kapiri Mposhi,-13.97,28.68,66.24,39,0,5.57
143,Geraldton,-28.77,114.6,71.6,56,75,16.11
144,Dyurtyuli,55.49,54.87,51.58,67,48,4.79
145,Mazagão,-0.12,-51.29,78.8,94,20,6.93
146,Gayéri,12.65,0.49,75.6,66,53,8.93
147,Beringovskiy,63.05,179.32,37.63,77,92,18.54
148,Atherton,53.52,-2.49,40.08,80,0,9.31
149,Mujiayingzi,42.12,118.78,74.89,33,10,5.75
150,Kavieng,-2.57,150.8,85.01,74,27,9.8
151,Saint George,37.1,-113.58,75.47,14,1,4.7
152,Road Town,18.42,-64.62,82.0,88,100,7.0
153,George Town,5.41,100.34,79.81,74,20,3.36
154,Tilichiki,60.47,166.1,42.89,60,2,11.5
155,Dingle,11.0,122.67,86.61,73,47,8.7
156,Valparaíso,-33.04,-71.63,52.0,65,94,5.79
157,Kitgum,3.28,32.89,68.02,92,93,2.82
158,Machilipatnam,16.17,81.13,80.6,83,90,12.75
159,Khao Yoi,13.24,99.82,87.8,66,40,6.93
160,Khandyga,62.67,135.6,52.95,49,64,5.61
161,Morgan City,29.7,-91.21,69.87,100,40,5.82
162,Tarata,-17.62,-66.02,57.2,58,0,4.7
163,Souillac,-20.52,57.52,75.2,64,40,18.34
164,Hilo,19.73,-155.09,66.92,78,75,6.73
165,Oddur,4.12,43.89,77.22,57,6,17.38
166,Sfântu Gheorghe,45.87,25.78,59.5,82,76,6.26
167,Xai-Xai,-25.05,33.64,73.89,54,0,6.89
168,Mezen',65.85,44.24,52.2,86,7,6.06
169,Broome,42.25,-75.83,56.3,82,1,4.7
170,Grajaú,-5.82,-46.14,74.44,68,12,2.46
171,Beloha,-25.17,45.05,76.91,50,0,10.22
172,Barreirinhas,-2.75,-42.83,79.09,76,62,11.72
173,Aklavik,68.22,-135.01,36.27,93,100,14.79
174,Den Helder,52.96,4.76,52.54,87,75,3.36
175,Ahipara,-35.17,173.17,65.62,77,24,12.37
176,Harper,4.38,-7.72,75.9,89,83,9.89
177,Iberia,29.95,-91.75,67.3,100,75,4.7
178,Río Gallegos,-51.62,-69.22,44.6,52,26,8.05
179,Labuhan,-6.88,112.21,90.68,49,54,8.57
180,Ajdabiya,30.76,20.23,79.07,29,0,12.84
181,São Filipe,14.9,-24.5,79.81,81,85,4.14
182,Lompoc,34.64,-120.46,57.13,93,90,3.36
183,Te Anau,-45.42,167.72,48.2,89,98,4.85
184,Karangampel,-6.46,108.45,88.29,56,79,13.38
185,Port Hedland,-20.32,118.57,93.2,32,20,19.46
186,Matagami,49.75,-77.63,52.12,96,100,9.73
187,Cabedelo,-6.98,-34.83,71.6,94,75,4.7
188,College,64.86,-147.8,40.84,81,90,1.05
189,Provideniya,64.38,-173.3,34.48,82,0,4.88
190,Mount Isa,-20.73,139.5,86.0,19,0,9.17
191,Nishihara,26.18,127.76,82.8,66,75,16.11
192,Kisanga,-7.44,37.7,75.65,65,4,4.65
193,Muroto-misakicho,33.28,134.15,77.0,61,75,14.99
194,Marawi,8.0,124.29,86.0,72,100,7.0
195,Kloulklubed,7.04,134.26,84.2,79,75,4.7
196,Dāmghān,36.17,54.35,73.18,37,0,3.31
197,Bodaybo,57.85,114.19,51.64,71,100,3.0
198,Mercedes,-34.65,-59.43,56.7,99,100,4.0
199,Manta,-0.95,-80.73,71.6,83,75,9.17
200,Voskresenskoye,56.84,45.43,51.75,69,15,5.84
201,Hachinohe,40.5,141.5,60.8,82,75,23.04
202,Goryachegorsk,55.41,88.92,42.12,85,100,5.26
203,Salalah,17.02,54.09,80.6,74,75,6.93
204,Immokalee,26.42,-81.42,77.54,94,7,3.71
205,Ormara,25.21,64.64,84.25,54,0,11.97
206,Kalianget,-7.05,113.93,87.31,56,85,11.61
207,Ina,35.83,137.95,71.92,73,75,3.36
208,Mahébourg,-20.41,57.7,75.2,64,40,18.34
209,Indramayu,-6.33,108.32,88.12,56,71,12.01
210,Thompson,55.74,-97.86,50.63,93,100,8.46
211,Shimoda,34.67,138.95,68.0,100,75,14.99
212,Kensington,-33.92,151.22,62.15,31,0,31.09
213,North Bend,43.41,-124.22,62.26,93,90,9.17
214,Morondava,-20.28,44.28,78.1,67,45,6.2
215,São Sepé,-30.16,-53.57,62.1,73,89,8.95
216,Skjervøy,70.03,20.97,45.61,67,100,25.99
217,Saint-Pierre,-21.34,55.48,72.1,57,14,4.7
218,Ossora,59.24,163.07,49.5,54,3,13.27
219,Nikolskoye,59.7,30.79,51.48,87,3,6.71
220,Honningsvåg,70.98,25.97,45.32,67,67,22.73
221,Ponta do Sol,32.67,-17.1,68.11,64,20,11.41
222,Mahon,39.89,4.27,60.8,59,20,9.17
223,Algiers,36.75,3.04,64.4,72,40,6.93
224,San Quintín,30.48,-115.95,68.16,86,7,3.76
225,Pervomayskoye,43.92,46.71,74.32,48,99,21.97
226,Kudahuvadhoo,2.67,72.89,83.14,68,71,6.82
227,Jos,9.92,8.9,65.05,85,100,3.56
228,Salym,60.06,71.48,47.32,73,22,5.08
229,Morro Bay,35.37,-120.85,62.28,93,0,6.82
230,Vilhena,-12.74,-60.15,74.46,60,31,3.36
231,Fuyang,32.9,115.82,78.76,57,81,7.07
232,Talara,-4.58,-81.27,63.32,82,41,14.29
233,Moranbah,-22.0,148.05,88.74,13,0,12.03
234,St. George's,12.06,-61.75,82.4,83,20,9.28
235,Maniitsoq,65.42,-52.9,39.54,78,99,6.73
236,Hearst,49.68,-83.67,55.24,97,100,5.1
237,Dali,25.7,100.18,67.24,81,100,4.54
238,Tazovsky,67.47,78.7,43.41,80,89,8.97
239,Stornoway,58.21,-6.39,44.35,87,53,8.05
240,San Policarpo,12.18,125.51,85.44,75,17,12.97
241,Alice Springs,-23.7,133.88,75.87,17,0,11.41
242,Castro,-24.79,-50.01,58.55,85,79,3.42
243,Felipe Carrillo Puerto,19.58,-88.05,76.84,97,58,2.91
244,Cabo San Lucas,22.89,-109.91,82.0,81,0,1.01
245,Yulara,-25.24,130.99,80.6,13,0,10.29
246,Moose Factory,51.26,-80.61,53.58,94,100,8.16
247,Vanavara,60.34,102.28,50.0,55,0,9.53
