,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ushuaia,-54.8,-68.3,57.2,41,75,9.24
1,Puro,12.4841,123.3827,78.82,82,57,12.62
2,Mar del Plata,-38.0023,-57.5575,66.4,93,90,20.8
3,Antakya,36.2066,36.1572,57.2,50,75,8.05
4,São Gabriel da Cachoeira,-0.1303,-67.0892,80.6,83,40,3.36
5,Butaritari,3.0707,172.7902,81.03,75,31,21.54
6,Rocha,-34.4833,-54.3333,80.78,66,50,12.19
7,Carnarvon,-24.8667,113.6333,80.6,61,25,10.29
8,Vardø,70.3705,31.1107,26.6,86,40,31.09
9,Hithadhoo,-0.6,73.0833,82.94,79,75,15.03
10,Busselton,-33.65,115.3333,63.84,63,30,5.99
11,Hobart,-42.8794,147.3294,58.64,82,90,6.93
12,Les Cayes,18.2,-73.75,79.92,58,0,1.72
13,Cherskiy,68.75,161.3,-22.88,86,100,9.48
14,Touros,-5.1989,-35.4608,87.8,55,40,16.11
15,Qaanaaq,77.484,-69.3632,1.94,78,100,8.57
16,Arraial do Cabo,-22.9661,-42.0278,86.76,62,40,8.05
17,Quang Ngai,15.1167,108.8,71.37,91,98,6.08
18,Pevek,69.7008,170.3133,-15.65,89,100,11.16
19,Vaini,-21.2,-175.2,77.0,94,20,9.17
20,Cape Town,-33.9258,18.4232,72.32,60,20,25.28
21,Dikson,73.5069,80.5464,9.48,96,100,26.37
22,Kutum,14.2,24.6667,75.4,17,0,10.22
23,Saint George,37.1041,-113.5841,28.4,68,1,4.7
24,Simao,22.7886,100.9748,55.45,89,100,2.04
25,La Ronge,55.1001,-105.2842,12.2,92,100,4.7
26,Punta Arenas,-53.15,-70.9167,54.34,58,75,24.16
27,Ribeira Grande,38.5167,-28.7,60.8,82,75,34.45
28,Albany,42.6001,-73.9662,34.07,82,61,3.31
29,Rikitea,-23.1203,-134.9692,76.17,72,0,13.04
30,Saldanha,-33.0117,17.9442,75.2,53,0,21.92
31,Porto-Novo,6.4965,2.6036,87.8,74,20,13.87
32,Champerico,14.3,-91.9167,80.6,78,20,3.51
33,Bredasdorp,-34.5322,20.0403,73.4,56,81,12.75
34,Dakar,14.6937,-17.4441,80.6,57,0,13.87
35,Bluff,-46.6,168.3333,50.0,94,7,6.8
36,Saint-Joseph,-21.3667,55.6167,78.39,74,0,17.22
37,Hermanus,-34.4187,19.2345,72.0,64,82,4.45
38,Coxim,-18.5067,-54.76,94.1,40,84,8.79
39,Barrow,71.2906,-156.7887,-14.8,83,90,4.7
40,Lexington,37.9887,-84.4777,34.0,71,100,1.99
41,Kruisfontein,-34.0033,24.7314,73.0,78,97,5.99
42,Kavaratti,10.5669,72.642,82.45,76,99,10.0
43,Tomatlán,19.9333,-105.25,80.06,47,0,2.13
44,Nuevo Progreso,23.1667,-97.95,71.02,88,0,3.0
45,Mataura,-46.1927,168.8643,50.0,94,28,3.06
46,Hachinohe,40.5,141.5,21.2,79,75,6.93
47,Kavieng,-2.5744,150.7967,82.42,77,100,6.06
48,Ilulissat,69.2167,-51.1,12.2,56,75,11.41
49,Teguise,29.0605,-13.564,73.4,64,40,16.11
50,Castro,-24.7911,-50.0119,77.68,65,100,11.21
51,Cayenne,4.9333,-52.3333,80.6,88,75,5.82
52,Los Llanos de Aridane,28.6585,-17.9182,65.8,60,20,5.82
53,Algiers,36.7525,3.042,53.6,66,40,3.36
54,Oxelösund,58.6706,17.1015,32.0,97,75,10.29
55,Avarua,-21.2078,-159.775,78.8,83,36,18.34
56,Akranes,64.3218,-22.0749,33.8,75,40,3.36
57,Chui,-33.6971,-53.4616,77.61,72,41,14.18
58,Itarema,-2.9248,-39.9167,88.39,55,50,15.97
59,Port Alfred,-33.5906,26.891,75.99,83,44,1.01
60,Srednekolymsk,67.45,153.6833,-26.7,85,95,10.58
61,New Norfolk,-42.7826,147.0587,57.78,68,79,1.59
62,Belmonte,-15.8631,-38.8828,84.2,58,40,14.99
63,Atuona,-9.8,-139.0333,77.04,75,39,15.14
64,Chokurdakh,70.6333,147.9167,-15.88,89,100,11.5
65,Sept-Îles,50.2001,-66.3821,25.81,85,100,6.93
66,Hilo,19.7297,-155.09,66.29,82,1,4.7
67,Kingman,35.1894,-114.053,37.76,55,1,4.76
68,George Town,5.4112,100.3354,77.23,88,40,3.36
69,Harindānga,22.0383,88.3214,73.4,64,0,4.12
70,Saint Paul Harbor,57.79,-152.4072,37.4,93,90,19.46
71,Libreville,0.3925,9.4537,86.0,79,20,9.17
72,Arlit,18.7369,7.3853,93.33,10,0,7.38
73,Biu,10.6129,12.1946,92.37,11,0,11.48
74,Muros,42.7762,-9.0603,49.14,74,23,6.93
75,Puerto Carreño,6.189,-67.4859,87.33,51,83,11.3
76,Hong Kong,22.2855,114.1577,61.11,82,40,13.98
77,Soe,-9.8607,124.284,68.23,99,100,2.62
78,Tiksi,71.6872,128.8694,-22.67,85,100,13.13
79,Esso,55.9333,158.7,-2.49,83,0,3.58
80,Palatka,29.6486,-81.6376,61.34,60,0,8.01
81,Port Hardy,50.6996,-127.4199,42.39,86,90,24.16
82,Yellowknife,62.456,-114.3525,-18.94,68,75,13.87
83,Laguna,38.421,-121.4238,39.74,93,90,3.36
84,Luanda,-8.8368,13.2343,86.0,62,40,13.87
85,Nikolskoye,59.7035,30.7861,29.03,86,90,4.47
86,Hamilton,39.1834,-84.5333,32.41,82,90,12.75
87,Olafsvik,64.8945,-23.7142,37.33,78,100,13.58
88,Laas,46.6166,10.7002,30.83,62,75,4.7
89,Kudahuvadhoo,2.6708,72.8944,82.63,76,99,11.95
90,Natal,-5.795,-35.2094,87.8,55,75,16.11
91,Kaka,37.3482,59.6143,31.24,95,100,1.21
92,Tuktoyaktuk,69.4541,-133.0374,-14.8,75,40,5.82
93,Navahrudak,53.6,25.8333,30.52,98,100,16.2
94,Cabo San Lucas,22.8909,-109.9124,58.66,58,5,4.97
95,Broken Hill,-31.95,141.4333,68.0,42,30,20.8
96,Bengkulu,-3.8004,102.2655,77.88,89,100,5.53
97,Bambous Virieux,-20.3428,57.7575,75.58,83,40,14.99
98,Alofi,-19.0595,-169.9187,78.8,88,100,5.82
99,Havre-St-Pierre,50.2334,-63.5986,21.2,85,40,5.82
100,Biak,-0.9131,122.8766,76.95,79,100,3.62
101,Ponta do Sol,32.6667,-17.1,63.66,72,40,8.05
102,Mount Isa,-20.7333,139.5,84.2,30,75,19.46
103,Nouadhibou,20.931,-17.0347,82.4,24,93,4.7
104,Wattegama,6.7989,81.4808,77.0,100,20,1.12
105,Norman Wells,65.282,-126.8329,-5.8,70,75,3.36
106,Koróni,36.8,21.95,54.34,71,20,9.15
107,Bethel,41.3712,-73.414,35.65,80,90,5.82
108,Rawson,-43.3002,-65.1023,68.4,34,0,13.06
109,Emba,48.8264,58.1442,2.66,79,8,3.02
110,Tura,25.5198,90.2201,62.56,69,75,2.93
111,Ciudad Bolivar,8.1222,-63.5497,85.71,45,81,8.25
112,Burns Lake,54.2331,-125.7533,5.0,92,100,1.12
113,Victoria Point,-27.5833,153.3,74.71,78,0,1.99
114,Neuquén,-38.9516,-68.0591,68.0,60,75,9.17
115,Vanimo,-2.6741,141.3028,79.92,83,99,5.28
116,Bay Roberts,47.5999,-53.2648,34.9,88,90,19.46
117,Lagoa,39.05,-27.9833,59.49,82,100,35.48
118,Honiara,-9.4333,159.95,78.08,79,95,5.41
119,Zhangjiakou,40.81,114.8794,3.38,71,73,14.14
120,Seredka,58.1584,28.1858,30.2,92,90,6.71
121,Valparaíso,-33.0393,-71.6273,62.56,67,0,10.29
122,Port Elizabeth,-33.918,25.5701,75.2,73,40,12.75
123,Harper,4.375,-7.7169,82.38,75,31,9.13
124,Laurel,39.0993,-76.8483,40.03,80,90,3.89
125,Vyshkov,52.4764,31.6873,31.46,92,90,11.18
126,Torbay,47.6666,-52.7314,33.53,91,90,27.51
127,Afşin,38.2477,36.914,39.76,70,99,1.5
128,Mana,5.6592,-53.7767,83.62,72,45,8.1
129,Novokruchininskiy,51.7833,113.7667,-16.6,51,5,4.47
130,Khatanga,71.9667,102.5,-1.62,92,100,20.62
131,Sarangani,5.4033,125.4636,82.83,75,91,13.91
132,Kapaa,22.0752,-159.319,68.47,83,75,4.7
133,San Juan de Urabá,8.7592,-76.5297,84.36,64,93,5.3
134,Province of Trapani,37.8333,12.6667,54.0,47,20,12.75
135,Bonthe,7.5264,-12.505,85.46,67,80,6.73
136,Groton,41.3501,-72.0784,36.34,69,90,11.41
137,Hambantota,6.1241,81.1185,77.0,100,20,1.12
138,Poronaysk,49.2167,143.1167,-8.72,84,3,3.89
139,Sørland,67.667,12.6934,42.8,93,75,19.46
140,East London,-33.0153,27.9116,77.0,83,40,12.75
141,Vilhena,-12.7406,-60.1458,77.0,78,75,12.75
142,Skole,49.0372,23.5135,32.09,87,100,5.99
143,Dingle,10.9995,122.6711,75.49,91,96,8.28
144,Geraldton,-28.7667,114.6,86.0,15,27,24.16
145,Airai,-8.9266,125.4092,62.44,100,97,1.25
146,Valley,45.1277,-116.1262,25.41,92,75,4.7
147,Atasū,48.6814,71.6433,5.32,87,96,7.61
148,Cidreira,-30.1811,-50.2056,77.88,69,100,8.59
149,Dera Bugti,29.0307,69.151,57.92,37,0,5.3
150,Hwange,-18.3693,26.5019,82.6,62,0,4.61
151,Saint-Philippe,-21.3585,55.7679,75.16,74,0,17.22
152,San Patricio,28.017,-97.5169,64.38,94,90,6.93
153,Oranjestad,12.524,-70.027,78.8,74,40,10.29
154,Tonj,7.2737,28.6822,89.83,18,0,3.62
155,Meulaboh,4.1363,96.1285,79.74,83,83,1.99
156,Haines Junction,60.7522,-137.5108,2.95,89,100,1.97
157,Yaan,7.3833,8.5667,100.11,12,56,8.81
158,Sitka,57.0531,-135.33,42.8,70,75,21.92
159,Jatai,-17.8814,-51.7144,84.99,54,77,7.85
160,Pacific Grove,36.6177,-121.9166,44.2,87,1,3.36
161,Upernavik,72.7868,-56.1549,7.36,94,100,29.66
162,Paita,-5.0892,-81.1144,80.6,65,0,8.59
163,Purpe,64.4803,76.6897,-19.5,83,0,12.3
164,Ancud,-41.8697,-73.8203,65.82,55,0,11.41
165,Kushmurun,52.4503,64.6311,-7.96,84,61,4.65
166,Fairbanks,64.8378,-147.7164,-7.19,83,90,1.12
167,Aktobe,50.2797,57.2072,-2.2,70,0,6.71
168,Tacna,-18.0056,-70.2483,75.2,53,0,4.7
169,Doiwāla,30.1833,78.1167,60.51,65,38,6.33
170,Zhob,31.3411,69.4481,44.51,59,12,2.62
171,San Cristobal,7.7669,-72.225,80.6,61,40,6.93
172,Nara,34.6851,135.8049,39.45,57,100,4.99
173,Codrington,-38.2667,141.9667,55.8,80,95,11.83
174,Asău,46.4333,26.4,37.99,80,100,3.11
175,Lima,-12.0432,-77.0282,75.2,69,0,13.87
176,Jalu,29.0331,21.5482,60.04,43,11,8.25
177,Kirakira,-10.4544,161.9205,79.88,71,87,4.32
178,Tilichiki,60.4667,166.1,-19.46,88,8,9.33
179,Mahébourg,-20.4081,57.7,77.0,83,40,14.99
180,Bilma,18.6853,12.9164,86.34,13,0,4.85
181,Puerto Ayora,-0.7393,-90.3518,77.0,69,75,5.82
182,Jamestown,42.097,-79.2353,32.76,97,90,3.11
183,Mount Gambier,-37.8333,140.7667,57.2,71,90,13.87
184,Jurm,36.8648,70.8342,28.69,77,100,1.19
185,Salair,54.2312,85.7972,-23.24,87,16,3.94
186,Monastyrshchina,54.3496,31.838,30.49,95,100,11.3
187,Yulara,-25.2406,130.9889,75.2,29,74,16.11
188,Tahe,52.3333,124.7333,-22.41,81,4,4.61
189,Leningradskiy,69.3833,178.4167,-10.84,88,100,14.2
190,Villa Bruzual,9.3328,-69.1208,90.23,34,81,4.45
191,Akdepe,42.0551,59.3788,13.15,52,0,11.41
192,Umarkhed,19.6,77.7,68.0,58,26,5.53
193,Faanui,-16.4833,-151.75,80.76,74,76,11.59
194,Lebu,-37.6167,-73.65,60.85,64,0,18.39
195,Sühbaatar,50.2314,106.2078,-23.19,74,98,5.06
196,Nantucket,41.2835,-70.0995,39.11,93,90,18.34
197,Chunoyar,57.4467,97.3217,-13.9,86,100,9.98
198,Gazli,40.1333,63.45,26.92,79,50,5.28
199,San Juan,-31.5375,-68.5364,73.85,53,82,12.68
200,Plymouth,41.8334,-70.8328,35.47,93,90,10.29
201,Half Moon Bay,37.4636,-122.4286,45.39,100,75,4.65
202,Prado,-17.3411,-39.2208,82.56,66,18,12.28
203,Christchurch,-43.5333,172.6333,57.6,93,94,6.93
204,Ketchikan,55.3422,-131.6461,39.2,93,90,28.86
205,Zenzeli,45.9241,47.0474,28.15,91,47,21.3
206,Tasiilaq,65.6145,-37.6368,15.8,72,20,5.82
207,Alenquer,-1.9417,-54.7383,80.6,88,75,12.75
208,Husavik,66.0449,-17.3389,33.8,80,75,8.05
209,Slave Lake,55.2834,-114.769,17.6,85,1,6.93
210,Wencheng,33.0559,113.7978,30.18,92,4,0.78
211,Ahipara,-35.1667,173.1667,60.8,89,95,2.44
212,Praia da Vitória,38.7333,-27.0667,58.57,82,75,34.45
213,Salmo,49.1999,-117.2689,29.71,100,99,5.82
214,Kumul,42.8,93.45,10.09,75,0,7.36
215,Lapua,62.9693,23.0088,1.4,84,20,2.08
216,Hāgere Hiywet,8.9833,37.85,64.17,35,94,8.19
217,Mastic Beach,40.7668,-72.8521,37.51,69,75,5.82
218,Kpandae,8.4689,-0.0113,101.79,11,0,5.84
219,Krasnosel'kup,65.7,82.4667,-15.84,88,99,11.83
220,Nanortalik,60.1432,-45.2371,27.48,92,0,6.15
221,Satrikh,26.8667,81.2,66.2,88,75,2.17
222,Nushki,29.5542,66.0215,42.06,53,0,2.57
223,San Felipe,10.3399,-68.7425,82.65,46,78,4.47
224,Manyana,-23.4,21.7167,79.25,55,92,10.54
225,Atar,20.5169,-13.0499,87.35,21,100,3.76
226,Kingisepp,59.3733,28.6134,22.5,97,94,4.59
227,Yumen,40.2833,97.2,6.84,67,0,10.04
228,Salalah,17.0151,54.0924,75.2,44,0,3.36
229,Saskylakh,71.9167,114.0833,-10.28,87,97,13.0
230,Kaitangata,-46.2817,169.8464,49.03,94,26,1.95
231,Caucayá,-0.1934,-74.7819,79.88,64,100,4.29
232,Bauska,56.4075,24.1906,33.8,86,90,11.41
233,Novy Urengoy,66.0833,76.6333,-13.38,89,44,11.56
234,Ţahţā,26.7693,31.5021,69.85,23,0,7.65
235,São Filipe,14.8961,-24.4956,78.17,65,99,5.26
236,Dandong,40.1292,124.3947,7.65,66,0,4.27
237,Bilibino,68.0546,166.4372,-31.74,81,100,3.02
238,Pokhara,28.2333,83.9833,62.8,31,60,6.69
239,Hirara,24.8,125.2833,66.13,86,100,29.82
240,Manakara,-22.1333,48.0167,77.61,80,18,9.66
241,San Policarpo,12.1791,125.5072,80.62,84,100,14.63
242,Fukuechō,32.6881,128.8419,47.39,68,85,23.47
243,Okoneshnikovo,54.8377,75.0834,-16.38,87,100,7.85
244,Guerrero Negro,27.9769,-114.0611,61.02,78,100,4.07
245,Andenes,69.3143,16.1194,39.9,93,75,16.11
246,Ostrovnoy,68.0531,39.5131,11.8,95,51,14.12
247,Lorengau,-2.0226,147.2712,83.01,76,95,7.63
248,Iqaluit,63.7506,-68.5145,-4.0,70,40,2.24
249,Kargasok,59.0556,80.8572,-21.96,84,0,2.15
250,Thompson,55.7435,-97.8558,-4.0,83,40,2.24
251,Tongliao,43.6125,122.2653,-12.91,83,69,7.94
252,Quatre Cocos,-20.2078,57.7625,75.42,83,40,14.99
253,Isangel,-19.55,169.2667,78.85,85,70,9.75
254,Isla Mujeres,21.2311,-86.731,77.74,69,40,9.17
255,Hailar,49.2,119.7,-15.12,89,100,7.78
256,Seminole,28.7086,-81.2081,60.35,54,1,5.82
257,Aden,12.7794,45.0367,76.6,73,6,13.29
258,Kiryat Gat,31.61,34.7642,62.85,100,70,4.54
259,Celestún,20.8667,-90.4,76.66,70,62,11.21
260,Iralaya,15.0,-83.2333,79.79,75,3,8.1
261,Bacolod City,10.6667,122.95,78.06,80,79,10.42
262,Haputale,6.7681,80.9595,77.0,100,20,1.12
263,Rabo de Peixe,37.8,-25.5833,57.2,87,75,21.92
264,Padang,-0.9492,100.3543,78.8,88,20,1.12
265,Vila Velha,-20.3297,-40.2925,86.38,62,20,14.99
266,Saint-Pierre,-21.3393,55.4781,75.65,74,0,17.22
267,Coyhaique,-45.5752,-72.0662,66.2,45,0,5.82
